270,89,Transaction,8506,1984-09-26T06:15:52.087+00:00,LwaJUmnAVi,gCzDeMjKtg,15044.04
164,125,Transaction,84184,2005-10-09T06:15:52.087+00:00,ZzQOBWEHEC,AkQbrLdUYP,40363.24
293,167,Transaction,90097,1971-07-13T06:15:52.087+00:00,UzZKTeFDdy,tKhrosescI,14700.2
73,278,Transaction,72841,1985-03-30T06:15:52.087+00:00,SgWWhcxsls,dneCuGpizD,7015.55
213,196,Transaction,61531,1972-12-28T06:15:52.087+00:00,XyzKoocItb,bNPIlqaOgm,35799.08
171,60,Transaction,83196,1994-10-29T06:15:52.087+00:00,gVoulUMMDe,TpBihKjEnr,20090.38
34,241,Transaction,23495,1990-05-18T06:15:52.087+00:00,uhTyGxMZUF,mswTpZZkfK,38949.45
223,183,Transaction,45070,1991-04-21T06:15:52.087+00:00,YzhWBfxiOz,ttwnEdHuye,43891.9
291,296,Transaction,74981,1971-05-27T06:15:52.087+00:00,neCoQEGJgu,ryjFGguCmI,35551.5
283,250,Transaction,53591,1972-09-15T06:15:52.087+00:00,wbDeJvzfgd,PkXRQGVtOi,38531.78
264,281,Transaction,16479,2017-03-25T06:15:52.087+00:00,oOzRqhyOWb,LaCTtfQzaC,33926.37
277,275,Transaction,56517,2018-12-17T06:15:52.087+00:00,okCnwEpZnA,eXfYRGoEnw,36755.22
175,80,Transaction,80413,1989-12-27T06:15:52.087+00:00,SKPuuSRVPj,ieoiEnMkeA,5941.89
82,59,Transaction,80049,1979-01-04T06:15:52.087+00:00,YJrhwxNnVd,tWEpmCgOvM,15218.24
48,277,Transaction,96211,2008-03-28T06:15:52.087+00:00,foSTMvtDOH,LlYRQwwebC,32924.8
140,98,Transaction,80044,1978-04-16T06:15:52.087+00:00,UjmZttYtKg,lFakvqAZMF,41293.95
105,36,Transaction,52137,2014-04-13T06:15:52.087+00:00,apBsyUfehz,ahguvCMKsQ,43486.05
260,283,Transaction,77168,2003-12-02T06:15:52.087+00:00,eImVHZLUyx,oXQcSiIoDN,6160.88
154,248,Transaction,86527,1970-01-26T06:15:52.087+00:00,KfsdzTxzJB,mdHzOhYsyv,46018.81
185,30,Transaction,78065,2010-11-01T06:15:52.087+00:00,LoqFgqLvKo,aQcfANRbkT,9502.77
93,30,Transaction,7080,1992-08-06T06:15:52.087+00:00,VWOTPnGINB,CEKAOOVmiu,6370.8
189,270,Transaction,20218,1995-01-15T06:15:52.087+00:00,lgwrjYRqBy,KTdLeAcTdn,27290.89
249,143,Transaction,68375,1993-11-21T06:15:52.087+00:00,qQjdMKXQmV,gByYjKGUnG,46650.58
231,46,Transaction,55026,2003-11-08T06:15:52.087+00:00,HpKTTGbJlg,JdHQGkuGWr,22508.87
70,120,Transaction,32208,1985-11-20T06:15:52.087+00:00,vUsfQXTRqt,sJmpazCPMl,29248.33
26,292,Transaction,15471,1997-03-14T06:15:52.087+00:00,MJJDIWUwcv,iiJrXGENWZ,15438.63
208,19,Transaction,89695,2010-11-18T06:15:52.087+00:00,jjZBTzKePZ,QgEJOWgXhv,49455.08
166,12,Transaction,77318,1977-08-06T06:15:52.087+00:00,UZUCCTrVCz,HTobXMQcOs,9971.9
275,31,Transaction,90496,1971-11-12T06:15:52.087+00:00,WvpgfFXDfl,fWeaxmFtQu,8.62
87,93,Transaction,39683,2005-03-12T06:15:52.087+00:00,sGdwsWxFGV,XCtluNMGfQ,38606.93
218,228,Transaction,90635,1971-06-21T06:15:52.087+00:00,TCPCSEnqii,TWSWcKmdip,39864.28
143,157,Transaction,71178,2006-08-26T06:15:52.087+00:00,kkOJXagdJl,rZMGMzWqzi,32539.36
167,126,Transaction,43488,1975-05-08T06:15:52.087+00:00,tBzinuTerD,KtfllLoQRL,49620.18
167,6,Transaction,24404,2002-02-20T06:15:52.087+00:00,fPslCYULop,qaFOKtOebh,39525.91
51,186,Transaction,37632,1971-02-26T06:15:52.087+00:00,GEyhqIaPPR,cORvNiKpFR,9219.88
42,194,Transaction,41468,2012-05-18T06:15:52.087+00:00,nXNTchnADD,LGtRhVvhvo,46043.43
297,163,Transaction,59060,1978-04-24T06:15:52.087+00:00,AbfqIoekiV,nVcxoIsGpG,1545.41
289,231,Transaction,54230,1994-10-23T06:15:52.087+00:00,ypuvkroYFA,xuLKYfjMHW,49953.74
273,229,Transaction,984,2022-12-11T06:15:52.087+00:00,yBqEAoziAa,orAauOtBJV,8735.79
154,261,Transaction,13276,1984-04-13T06:15:52.087+00:00,BrONEPQeFg,WzZTaOtfRr,32381.61
194,159,Transaction,79147,1978-09-30T06:15:52.087+00:00,MNswXqWngt,epdixWzsTA,25562.7
281,35,Transaction,85709,1987-03-21T06:15:52.087+00:00,TmXFtnwwJM,EYyLxlyGeC,27563.4
294,154,Transaction,65288,2021-05-14T06:15:52.087+00:00,AERbaynzsS,lgwJqRBQUO,46987.43
163,134,Transaction,88762,1991-06-20T06:15:52.087+00:00,MLzvhElxiF,WadAfkwZod,2761.23
229,5,Transaction,59026,1981-10-11T06:15:52.087+00:00,rXmtgybFEr,yaBEWHQeQB,37139.75
68,244,Transaction,59386,1982-05-25T06:15:52.087+00:00,BlLjcjpFTe,WOWBTGOSRq,22553.0
136,174,Transaction,78154,1977-04-26T06:15:52.087+00:00,ciReGuizeg,xbpfRZTRCm,9264.02
234,279,Transaction,10760,1993-09-05T06:15:52.087+00:00,nccZeCTlYF,waBTTdEqUE,9899.5
28,198,Transaction,33378,1988-01-05T06:15:52.087+00:00,xnfGvCIouP,HOIUpssNra,31039.19
219,294,Transaction,26359,1971-11-21T06:15:52.087+00:00,CRiGnULUJE,lkqbucIVep,15952.59
100,20,Transaction,24385,2000-04-19T06:15:52.087+00:00,RXvbkQnpbA,DkGrGgGCzz,30669.07
207,145,Transaction,26795,1986-04-04T06:15:52.087+00:00,EIRKCGsGAx,vjwzBTTffU,24240.38
106,108,Transaction,43228,1995-05-13T06:15:52.087+00:00,pEMipqErOm,gEpvYqUVtU,36218.15
